date,bike_usage
2016-09-18,4218
2016-09-19,3994
2016-09-20,6274
2016-09-21,6659
2016-09-22,6659
2016-09-23,6099
2016-09-24,4681
2016-09-25,4244
2016-09-26,6032
2016-09-27,5182
2016-09-28,5243
2016-09-29,5621
2016-09-30,4642
2016-10-01,1526
2016-10-02,2599
2016-10-03,5807
2016-10-04,5918
2016-10-05,5889
2016-10-06,6000
2016-10-07,6023
2016-10-08,4183
2016-10-09,570
2016-10-10,4164
2016-10-11,5650
2016-10-12,5397
2016-10-13,5669
2016-10-14,5561
2016-10-15,3875
2016-10-16,3848
2016-10-17,6139
2016-10-18,5752
2016-10-19,6318
2016-10-20,5741
2016-10-21,4580
2016-10-22,2326
2016-10-23,3284
2016-10-24,5235
2016-10-25,4644
2016-10-26,4635
2016-10-27,3106
2016-10-28,3055
2016-10-29,2943
2016-10-30,2908
2016-10-31,4519
2016-11-01,4832
2016-11-02,5468
2016-11-03,4322
2016-11-04,4763
2016-11-05,3454
2016-11-06,2485
2016-11-07,4154
2016-11-08,4808
2016-11-09,4447
2016-11-10,4439
2016-11-11,3796
2016-11-12,2663
2016-11-13,2943
2016-11-14,4538
2016-11-15,2472
2016-11-16,4408
2016-11-17,4561
2016-11-18,4812
2016-11-19,3344
2016-11-20,1875
2016-11-21,3013
2016-11-22,3197
2016-11-23,2546
2016-11-24,853
2016-11-25,1075
2016-11-26,1511
2016-11-27,1600
2016-11-28,3237
2016-11-29,2116
2016-11-30,2178
2016-12-01,3343
2016-12-02,3067
2016-12-03,1733
2016-12-04,1535
2016-12-05,1749
2016-12-06,2743
2016-12-07,2147
2016-12-08,2758
2016-12-09,2155
2016-12-10,968
2016-12-11,870
2016-12-12,1476
2016-12-13,2304
2016-12-14,2271
2016-12-15,1494
2016-12-16,991
2016-12-17,238
2016-12-18,573
2016-12-19,1354
2016-12-20,1546
2016-12-21,1706
2016-12-22,1386
2016-12-23,1164
2016-12-24,275
2016-12-25,360
2016-12-26,488
